"","title","year","length","rating","votes"
"1103","Adventures of Smilin' Jack",1943,265,8.2,18
"1123","Aelan",1989,105,3.2,7
"1167","Afganistan - The last war bus (L'ultimo bus di guerra)",1989,90,2.9,21
"1197","Afrika",2002,112,5,43
"1235","After the Sunset",2004,97,6,3431
"1243","Aftermath",2002,83,4.7,51
"1244","Aftermath, The",1982,81,3.7,61
"1249","Aftershock",1990,91,3.5,52
"1253","Against All Flags",1952,83,6.7,239
"1257","Against the Law",1997,81,3.7,73
"1259","Against the Wind",1948,96,6.4,68
"1275","Age to Age",1999,76,5,11
"1281","Agent Cody Banks",2003,102,5.5,2655
"1282","Agent Cody Banks 2: Destination London",2004,100,3.8,919
"1284","Agent Sinikael",2002,78,7.5,28
"1285","Agent for H.A.R.M.",1966,84,2.4,279
"1286","Agent nr 1",1972,97,3.1,5
"1287","Agent on Ice",1985,96,4.4,15
"1294","Agents secrets",2004,109,5.5,479
"1299","Agi Murad il diavolo bianco",1959,91,4.3,30
"1301","Agimat, anting-anting ni Lolo, Ang",2002,115,5.3,7
"1305","Agneepath",1990,174,8.4,162
"1309","Agni Nakshatram",1988,146,7.8,40
"1351","Ai nu",1972,90,7.5,127
"1360","Ai zuozhan",2004,96,6.9,37
"1384","Air America",1990,115,5.2,3793
"1388","Air Force",1943,124,7.2,291
"1389","Air Force One",1997,124,6.3,26156
"1393","Air Marshal",2003,90,3,81
"1395","Air Strike",1955,67,6,7
"1399","Airbag",1997,112,6.1,617
"1402","Airboss II: Preemptive Strike",1998,88,1.8,14
"1403","Airboss III: The Payback",1999,92,2.5,6
"1411","Airport '77",1977,114,5.1,1440
"1412","Airport 1975",1974,107,4.9,1385
"1413","Airspeed",1998,93,3,386
"1455","Akira",1988,124,7.7,14840
"1458","Ako-Jo danzetsu",1978,159,5.6,8
"1470","Akwarium",1996,145,5.1,12
"1479","Al filo de la ley",1992,90,4.1,5
"1494","Aladdin and His Wonderful Lamp",1939,22,7.4,69
"1504","Alamo, The",1960,192,6.6,2083
"1505","Alamo, The",2004,137,5.9,3060
"1513","Alas rotas",2002,95,2.7,6
"1516","Alaska Patrol",1949,65,5.8,7
"1521","Albatross",1996,104,5.8,6
"1529","Albino",1976,97,5,31
"1545","Aleksandr Nevskiy",1938,112,7.8,1748
"1556","Alex l'ariete",2000,122,2.4,95
"1582","Alfred the Great",1969,122,5.6,242
"1598","Alias 'La Gringa'",1991,100,6.3,20
"1612","Alibaba Aur 40 Chor",1980,153,5.7,42
"1638","Alice in Wonderland",1949,96,6.6,141
"1663","Alien Hunter",2003,92,5,563
"1677","Alien: Resurrection",1997,116,6,24358
"1678","Alienator",1989,93,2.8,119
"1679","Aliens",1986,154,8.3,63961
"1682","Aliens in the Wild Wild West",1999,90,2.9,58
"1684","Aliens: Ride at the Speed of Fright",1996,4,4.6,13
"1693","Alive",1993,127,6.7,5786
"1695","Alive Tribe, The",1997,90,5.2,5
"1707","All About the Benjamins",2002,95,5.4,1250
"1748","All Quiet on the Western Front",1930,147,8.2,6835
"1759","All Through the Night",1942,107,7,361
"1786","All the Queen's Men",2001,105,5,353
"1814","Alla ricerca dell'impero sepolto",1987,94,4.1,11
"1818","Allan Quatermain and the Lost City of Gold",1987,99,3.8,1777
"1822","Allegheny Uprising",1939,81,6.2,207
"1827","Allegro s ognyom",1979,91,8.2,5
"1842","Alley Cat",1982,82,6.1,24
"1868","Alluri Seetharama Raju",1972,187,6.3,6
"1903","Alone in the Dark",2005,96,2.1,2880
"1920","Alpagueur, L'",1976,110,6.1,246
"1938","Als es Nacht wurde in Deutschland",1999,8,7.7,7
"1951","Alternate, The",2000,91,2.9,189
"1959","Altrimenti ci arrabbiamo",1974,101,6.2,557
"2013","Amar Akbar Anthony",1977,184,7.4,182
"2053","Amazon Quest",1949,75,4.3,10
"2054","Amazon Warrior",1998,83,4.6,17
"2057","Amazones",2004,100,5.5,28
"2060","Amazons",1986,76,4.2,70
"2061","Amazons and Gladiators",2001,89,4,233
"2062","Amazzoni - donne d'amore e di guerra, Le",1973,100,4.5,35
"2079","Ambushed",1998,109,6,201
"2087","America 3000",1986,84,3.7,123
"2118","American Commandos",1985,88,4.4,20
"2120","American Cyborg: Steel Warrior",1994,94,3.3,167
"2125","American Dragons",1998,91,4.3,173
"2156","American Kickboxer",1991,92,3.4,67
"2167","American Ninja 2: The Confrontation",1987,90,3.7,641
"2168","American Ninja 3: Blood Hunt",1989,89,2.4,474
"2169","American Ninja 4: The Annihilation",1991,99,2.9,316
"2170","American Ninja V",1993,102,2.4,259
"2172","American Outlaws",2001,94,5.5,2878
"2190","American Shaolin",1991,106,4.4,129
"2196","American Strays",1996,97,5.2,238
"2203","American Tigers",1996,95,3,18
"2211","American Yakuza",1993,96,5.2,308
"2245","Amico del padrino, L'",1972,90,6.9,10
"2361","Amsterdam Kill, The",1977,90,4.9,61
"2362","Amsterdamned",1988,114,6.3,1014
"2382","Anaconda",1997,89,4.1,10510
"2423","Anche gli angeli mangiano fagioli",1973,111,5.5,142
"2434","Ancient Warriors",2001,93,3.8,42
"2468","Anderson Unbound",1999,17,6.2,12
"2511","Angel",1984,94,4.8,343
"2512","Angel 4: Undercover",1993,94,3.2,67
"2521","Angel Hill: l'ultima missione",1988,80,3.6,11
"2522","Angel III: The Final Chapter",1988,100,4,79
"2527","Angel Town",1990,102,4.2,90
"2528","Angel Unchained",1970,92,4.7,39
"2530","Angel Wore Red, The",1960,99,5.3,91
"2539","Angel of Destruction",1994,86,3.8,45
"2540","Angel of Fury",1992,77,3.2,38
"2541","Angel of H.E.A.T.",1982,93,3.6,81
"2549","Angel's Dance",1999,101,5.8,333
"2558","Angelfist",1993,80,3.7,73
"2573","Angels Die Hard",1970,86,5.6,29
"2575","Angels Hard as They Come",1971,85,4.8,33
"2578","Angels from Hell",1968,86,3.5,16
"2583","Angels of the City",1990,89,4.6,10
"2588","Angels' Brigade",1979,97,2,285
"2589","Angels' Wild Women",1972,82,2.3,32
"2594","Anges gardiens, Les",1995,110,5.2,454
"2598","Angkor: Cambodia Express",1982,90,6.1,13
"2633","Animal Room",1995,98,5.4,70
"2642","Animals",1999,90,4.3,23
"2653","Animatrix: Final Flight of the Osiris, The",2003,11,7.6,1536
"2666","Anji",2004,148,6.6,7
"2720","Anne of the Indies",1951,87,6.5,64
"2724","Annibale",1960,103,4.8,63
"2734","Annihilators, The",1985,84,3,44
"2739","Anno 2020 - I gladiatori del futuro",1982,91,3.9,68
"2751","Another 48 Hrs.",1990,93,5.1,4569
"2775","Ansatsu",1964,104,7.2,9
"2786","Antebios",1998,14,7.3,25
"2789","Anthar l'invincibile",1964,114,5,23
"2812","Antikiller",2002,114,5.4,231
"2813","Antikiller 2: Antiterror",2003,114,5.5,33
"2924","Apocalypse Now",1979,202,8.5,64785
"2925","Apocalypse domani",1980,91,5.1,248
"2964","Apprentice",1999,90,6.4,5
"2987","Apsolutnih sto",2001,93,7.2,118
"2993","Aquanoids",2003,78,2.2,46
"3009","Arabian Nights",1942,86,6.4,100
"3010","Araburu tamashii-tachi",2001,150,5.7,132
"3014","Aragami",2003,70,7,348
"3016","Arahan jangpung daejakjeon",2004,114,6.7,333
"3049","Arctic Blue",1993,95,4.8,208
"3075","Arena, The",1974,83,4.8,121
"3076","Arena, The",2001,92,2.8,119
"3079","Argent content",2000,18,5.5,31
"3111","Arizona Heat",1988,85,3.8,37
"3129","Armageddon",1998,153,5.7,45330
"3135","Armchair Hacker, The",1985,114,7.9,10
"3137","Armed Response",1986,86,4.2,70
"3139","Armed for Action",1992,88,3.9,14
"3140","Armee Gretchen, Eine",1973,95,5.6,26
"3145","Armstrong",1998,99,3.2,75
"3151","Army of Darkness",1993,96,7.4,22118
"3162","Around the World in 80 Days",2004,120,5.7,3887
"3186","Arrival, The",1996,115,6,4723
"3202","Art Heist",2004,98,3.8,59
"3276","Asambhav",2004,139,4.7,23
"3310","Aslan Adam",1975,109,6.1,29
"3314","Asoka",2001,169,6.5,555
"3318","Aspen Extreme",1993,113,5.1,697
"3339","Assassination",1987,105,4.4,322
"3340","Assassination Bureau, The",1969,110,6.2,329
"3348","Assassins",1995,132,5.7,7354
"3358","Assault on Precinct 13",1976,91,7.3,4093
"3359","Assault on Precinct 13",2005,109,6.3,2960
"3360","Assault on a Queen",1966,106,5.4,129
"3361","Assault, The",1996,85,3.4,48
"3370","Assignment K",1968,97,4.7,19
"3448","Athaku Yamudu Ammayiki Mogudu",1989,140,7.8,5
"3466","Atlantis: The Lost Empire",2001,95,6.4,6323
"3467","Atlas",1961,79,4,26
"3477","Atomic Rulers",1964,101,4.4,19
"3479","Atomic Submarine, The",1959,72,3.9,94
"3492","Attack",1956,107,7.7,510
"3494","Attack from Space",1964,76,4,12
"3497","Attack of the 60 Foot Centerfold",1995,84,3.5,175
"3603","Aurora: Operation Intercept",1995,94,2.7,80
"3613","Austin Powers in Goldmember",2002,94,6.2,22870
"3614","Austin Powers: International Man of Mystery",1997,94,7,33755
"3615","Austin Powers: The Spy Who Shagged Me",1999,95,6.5,37019
"3630","Autobahnraser",2004,87,3.8,255
"3640","Automatic",1994,90,5,203
"3671","Avalanche",1946,70,4.9,6
"3672","Avalanche",1978,91,4,155
"3673","Avalanche",1999,109,3.7,126
"3674","Avalanche Express",1979,88,4.1,210
"3689","Avatar",2003,9,6.7,6
"3690","Avatars",2001,5,3.3,7
"3696","Avengers, The",1998,89,3.4,11499
"3697","Avenging Angel",1985,93,3.7,184
"3698","Avenging Angelo",2002,96,4.6,877
"3700","Avenging Force",1986,104,4.7,203
"3742","Avventure di Mary Read, Le",1961,87,5.6,8
"3766","Ayam El-Sadat",2001,165,7.2,42
"3775","Ayyam al-tawila, al-",1980,150,6.1,7
"3782","Azumi",2003,142,7,1347
"3784","B gai waak",1998,95,6.6,69
"3798","BMX Bandits",1983,88,4.5,458
"3802","Ba cai Lin Ya Zhen",1982,86,4.4,19
"3805","Ba wong fa",1988,91,5.6,48
"3808","Baadshah",1999,175,5.9,83
"3811","Baau lit ying ging",1999,92,5.9,110
"3813","Baazi",1995,183,6.2,27
"3822","Baba",2002,179,5.8,20
"3866","Baby Brown",1990,85,3,12
"3882","Baby Face Nelson",1995,93,4.7,60
"3916","Baccanti, Le",1961,100,3.6,7
"3964","Back in Business",1997,93,4.1,93
"3966","Back in Trouble",1997,95,4,18
"3970","Back to Back",1990,95,4,24
"3975","Back to God's Country",1953,78,5.8,38
"3979","Back to the Future",1985,111,8.1,68647
"3989","Backdraft",1991,132,6.6,12637
"4001","Backroads",1977,60,7.4,31
"4010","Backyard Dogs",2000,96,1.9,1304
"4027","Bad Boys",1995,118,6.4,15326
"4028","Bad Boys II",2003,145,6.1,13087
"4035","Bad Company",2002,116,5.4,6175
"4042","Bad Georgia Road",1977,86,5.7,28
"4050","Bad Girls' Dormitory",1984,95,2.6,42
"4072","Bad Moon",1996,80,4.4,519
"4088","Badal",2000,166,3.9,13
"4094","Badge, The",2002,103,6.3,740
"4109","Bagong buwan",2001,130,6.2,17
"4114","Bai fa mo nu zhuan",1993,92,6.9,719
"4115","Bai fa mo nu zhuan II",1993,80,5.8,191
"4116","Bai ga jai",1982,100,7.7,278
"4132","Bait",2000,119,5.6,1884
"4139","Bajo la piel",1996,110,7.7,74
"4167","Balance of Power",1996,92,4.3,63
"4168","Balance, La",1982,103,6.7,173
"4220","Ballistic",1995,96,4,50
"4221","Ballistic: Ecks vs. Sever",2002,91,3.4,4556
"4232","Balls Deep",2004,89,8.5,19
"4255","Ban wo chuang tian ya",1989,98,6.8,73
"4264","Bancos",1999,12,7.9,10
"4272","Band of the Hand",1986,109,4.9,378
"4281","Bandido",1956,92,5.7,122
"4284","Bandidos",1991,95,6.1,32
"4292","Bandit of Zhobe, The",1959,80,4.2,15
"4311","Bang Boom Bang - Ein todsicheres Ding",1999,110,7.2,1207
"4319","Bangkok Dangerous",1999,105,6.5,651
"4321","Bangrajan",2000,71,6.6,283
"4337","Banlieue 13",2004,85,5.7,196
"4345","Banzai Runner",1987,85,4.8,22
"4347","Bao li xing jing",2000,88,4.6,13
"4372","Barb Wire",1996,109,3.2,5221
"4378","Barbarian Queen",1985,70,3.5,185
"4379","Barbarian Queen II: The Empress Strikes Back",1989,79,3.7,82
"4403","Barbouzes, Les",1964,108,7,199
"4413","Bare Knuckles",1977,90,5.2,17
"4550","Batalla de los Tres Reyes, La",1990,139,7.6,12
"4557","Batman",1989,126,7.4,35927
"4558","Batman & Robin",1997,125,3.6,28457
"4559","Batman Forever",1995,122,5.4,24025
"4560","Batman Returns",1992,126,6.5,23010
"4561","Batman and Robin",1949,263,5.8,119
"4562","Batman, The",1943,260,6.4,84
"4563","Batman: Dead End",2003,8,7.3,805
"4564","Batman: Mask of the Phantasm",1993,76,6.9,2419
"4566","Batoru rowaiaru",2000,122,7.9,12138
"4567","Batoru rowaiaru II: Rekuiemu",2003,155,4.8,2117
"4576","Battaglia di El Alamein, La",1969,96,4.9,70
"4580","Battellieri del Volga, I",1958,102,4.2,8
"4596","Battle at Elderbush Gulch, The",1913,29,7.1,59
"4597","Battle for the Planet of the Apes",1973,96,4.9,2335
"4598","Battle of Britain",1969,151,6.7,1728
"4607","Battle of the Bulge",1965,212,6.5,1423
"4609","Battle of the Coral Sea",1959,86,6.5,36
"4610","Battle of the River Plate, The",1956,106,6.6,380
"4615","Battle, The",1911,19,5.7,26
"4618","BattleQueen 2020",2001,95,2.9,116
"4619","Battlefield Earth: A Saga of the Year 3000",2000,119,2.4,14970
"4620","Battleground",1949,118,7.5,849
"4621","Battles of Chief Pontiac",1952,72,5.2,24
"4625","Batwara",1989,201,6.5,9
"4713","Beast Must Die, The",1974,93,5.5,245
"4731","Beastmaster 2: Through the Portal of Time",1991,107,3.1,564
"4732","Beastmaster, The",1982,90,5.4,2506
"4755","Beau Geste",1926,101,8.9,43
"4756","Beau Geste",1939,112,7.6,741
"4757","Beau Geste",1966,103,5.6,109
"4772","Beautiful Boxer",2003,118,8,267
"4816","Beccerra",2002,30,7.1,14
"4818","Beck - Sista vittnet",2002,101,6.2,301
"4908","Beheaded 1000",1993,124,5.6,16
"4911","Behind Enemy Lines",1986,90,4.3,67
"4912","Behind Enemy Lines",1996,89,4.3,149
"4913","Behind Enemy Lines",2001,106,6.1,10856
"5054","Belly of the Beast",2003,91,4.2,638
"5059","Beloe solntse pustyni",1970,85,8.3,290
"5071","Below the Belt",1971,84,3,11
"5081","Belva col mitra, La",1977,91,6,76
"5082","Belva dalle calda pelle, La",1982,94,3.8,50
"5099","Ben-Hur",1959,214,8.1,21031
"5106","Beneath Loch Ness",2001,96,2.7,233
"5108","Beneath the Planet of the Apes",1970,95,5.8,3568
"5133","Beowulf",1999,99,3.7,2058
"5219","Best Men",1997,90,5.6,787
"5236","Best of the Best",1989,97,5.3,1168
"5237","Best of the Best 2",1993,101,4.4,548
"5238","Best of the Best 3: No Turning Back",1995,90,4.4,255
"5239","Best of the Best: Without Warning",1999,90,4.3,96
"5240","Best of the Martial Arts Films, The",1990,90,6.9,109
"5256","Betrayal",2003,90,4.7,157
"5257","Betrayal from the East",1945,82,5.2,34
"5260","Betrayed",1988,126,6,990
"5274","Better Than Ever",1997,85,5.2,5
"5277","Better Way to Die, A",2000,97,5.6,458
"5335","Beverly Hills Cop",1984,105,7.1,16360
"5336","Beverly Hills Cop II",1987,100,5.8,10446
"5337","Beverly Hills Cop III",1994,104,4.7,6519
"5340","Beverly Hills Ninja",1997,88,4.7,3468
"5361","Beyond Desire",1996,87,4.6,92
"5364","Beyond Fear",1993,84,5.5,13
"5368","Beyond Justice",1992,113,4.2,76
"5369","Beyond Mombasa",1956,90,5.2,20
"5385","Beyond the Call of Duty",1992,85,4.3,31
"5398","Beyond the Poseidon Adventure",1979,114,4.4,956
"5427","Bi xie lan tian",1998,96,5.5,136
"5448","Bicheongwon",1980,82,5.1,9
"5450","Bichhoo",2000,160,5.4,27
"5472","Big Bad John",1990,92,5.1,31
"5474","Big Bad Mama",1974,83,5.3,308
"5475","Big Bad Mama II",1987,83,3.9,159
"5482","Big Bird Cage, The",1972,96,4.7,140
"5492","Big Brawl, The",1980,95,5.2,591
"5499","Big Bus, The",1976,88,5.1,636
"5525","Big Doll House, The",1971,95,4.6,194
"5527","Big Easy, The",1987,108,6.6,2956
"5540","Big Gamble, The",1961,100,5,25
"5552","Big Hit, The",1998,91,5.7,6206
"5560","Big Jake",1971,110,6.6,1139
"5561","Big Jim McLain",1952,90,4.3,266
"5575","Big Mouth, The",1967,107,5.4,133
"5591","Big Rascal",1979,93,6.5,6
"5593","Big Red One, The",1980,158,7.1,1838
"5637","Big Trees, The",1952,89,5.7,165
"5640","Big Trouble in Little China",1986,99,6.7,10803
"5643","Big Wheel, The",1949,92,5.5,63
"5669","Biker Boyz",2003,110,4,1580
"5701","Billabong Odyssey",2003,87,5.8,81
"5720","Billy Jack",1971,114,5.5,994
"5755","Bin lim mai ching",2002,87,7.2,14
"5773","Bio-Tech Warrior",1996,81,7.4,9
"5793","Bird on a Wire",1990,110,5.3,5090
"5811","Birth Control",2004,30,8.2,12
"5884","Black Alley Cats",1974,81,5.4,8
"5892","Black Belt Jones",1974,87,5.5,299
"5910","Black Dawn",1997,102,3.8,55
"5916","Black Dog",1998,89,4.7,1374
"5920","Black Eagle",1988,93,3.2,616
"5922","Black Fist",1975,87,4.9,49
"5924","Black Force",1975,82,4.4,9
"5927","Black Friday",2000,95,3.2,59
"5932","Black Godfather, The",1974,90,3.2,53
"5935","Black Gulch",2003,15,6,20
"5936","Black Gunn",1972,96,4.5,33
"5940","Black Hawk Down",2001,142,7.6,32530
"5941","Black Heat",1976,94,1.5,19
"5962","Black Lolita",1975,85,5.4,11
"5975","Black Moon Rising",1986,100,5.1,571
"5978","Black Oak Conspiracy",1977,92,5.4,14
"5981","Black Out",1996,98,4.5,70
"5987","Black Pirate, The",1926,94,7.5,187
"5989","Black Point",2001,100,5.1,127
"5991","Black Rain",1989,125,6.3,5636
"5998","Black Rose of Harlem",1996,87,3.8,23
"6002","Black Samson",1974,98,5.2,38
"6003","Black Samurai",1977,88,3,83
"6004","Black Scorpion II: Aftershock",1997,85,3.3,164
"6006","Black Sea Raid",1997,82,2.2,23
"6007","Black Shampoo",1976,82,4,61
"6016","Black Six, The",1974,94,3.2,57
"6019","Black Snow",1989,96,2.8,10
"6024","Black Sunday",1977,143,6.6,1069
"6029","Black Thunder",1997,85,3.5,96
"6056","Blackbelt II",1993,83,2.9,10
"6063","Blackhawk: Fearless Champion of Freedom",1952,242,7.4,22
"6070","Blackout",1978,92,5,33
"6081","Blackwater Trail",1996,97,4.7,36
"6086","Blade",1998,110,6.8,24372
"6087","Blade II",2002,108,6.6,17139
"6088","Blade Runner",1982,117,8.2,74749
"6090","Blade: Trinity",2004,124,5.7,7439
"6116","Blankman",1994,92,4.2,1133
"6117","Blast",1996,105,4.4,156
"6123","Blastfighter",1984,87,4.8,51
"6135","Blaze of Noon",1947,90,5.6,34
"6139","Blazing Ninja, The",1973,77,5.8,11
"6169","Bleu comme l'enfer",1986,95,5,40
"6185","Blind Fury",1989,86,5.6,1472
"6190","Blind Justice",1994,85,5.1,155
"6193","Blind Rage",1978,80,3.3,34
"6196","Blind Target",2000,90,4,26
"6198","Blind Vengeance",1994,83,1.9,8
"6205","Blindside",1986,98,4.8,50
"6209","Blinkende lygter",2000,109,7.3,1998
"6211","Blinker en het Bagbag-juweel",2000,92,6.6,20
"6250","Blonde Fist",1991,102,3.1,21
"6257","Blonde Savage",1947,62,5.1,6
"6292","Blood",1998,90,7.6,5
"6300","Blood Beach",1981,92,3.2,268
"6312","Blood Fingers",1972,74,7,7
"6315","Blood Games",1990,90,3.6,37
"6336","Blood Shot",2002,28,4.5,22
"6349","Blood Warriors",1993,95,4,16
"6366","Blood of Heroes, The",1989,104,5.9,872
"6370","Blood of the Dragon Peril",1980,83,6.3,17
"6372","Blood of the Innocent",1994,95,4.1,78
"6373","Blood of the Samurai",2001,75,6.5,18
"6377","Blood on the Sun",1945,94,6.2,242
"6378","Blood, Bullets, Buffoons",1996,90,3,13
"6379","Blood, Guts, Bullets and Octane",1998,87,5.3,285
"6380","Blood: The Last Vampire",2000,48,6.7,1456
"6386","Bloodfight",1989,100,2.7,43
"6387","Bloodfist",1989,85,2.8,80
"6388","Bloodfist II",1990,85,2.8,45
"6389","Bloodfist III: Forced to Fight",1992,88,3,55
"6390","Bloodfist IV: Die Trying",1992,86,3.6,59
"6391","Bloodfist VI: Ground Zero",1994,86,2.5,54
"6392","Bloodfist VII: Manhunt",1995,95,2.6,47
"6399","Bloodlock",1998,26,6.2,18
"6400","Bloodlust",1992,85,2.7,49
"6403","Bloodmatch",1991,86,2.6,30
"6405","Bloodmoon",1997,102,4.1,86
"6409","Bloodsport",1988,92,5.8,5221
"6410","Bloodsport 2",1996,71,4.3,274
"6411","Bloodsport 3",1996,91,2.9,132
"6413","Bloodstone",1988,91,3.8,46
"6426","Bloody Mallory",2002,94,4.1,167
"6454","Blowing Wild",1953,90,5.6,67
"6455","Blown Away",1992,93,5.1,1340
"6456","Blown Away",1994,121,5.8,4330
"6490","Blue Eagle, The",1926,58,4.8,32
"6502","Blue Ice",1992,105,4.9,319
"6503","Blue Iguana, The",1988,90,3.9,130
"6509","Blue Lamp, The",1950,84,6.6,150
"6510","Blue Max, The",1966,153,6.6,778
"6513","Blue Moon",1998,90,6.8,23
"6531","Blue Steel",1990,102,5.2,1894
"6532","Blue Streak",1999,93,5.8,7952
"6534","Blue Thunder",1983,108,5.9,2305
"6535","Blue Tiger",1994,88,4.8,118
"6538","Blue Vengeance",1992,90,5.3,8
"6550","Blueberry",2004,124,5.2,1256
"6557","Blues Brothers, The",1980,148,7.7,28964
"6570","Blutiger Freitag",1972,97,6,39
"6575","Bo ming chan dao duo ming chuang",1979,90,7.9,36
"6615","Boca del lobo, La",1988,128,7.2,66
"6656","Body Wars",1989,5,6.2,92
"6671","Bodyguard, The",2004,105,7.3,7
"6700","Bokser",1967,93,5.9,5
"6703","Boksuneun naui geot",2002,121,7.6,1325
"6738","Bomba, A",2001,90,6.2,84
"6743","Bombay 405 Miles",1980,164,7.3,19
"6750","Bomber",1982,101,5.3,185
"6810","Bonnie's Kids",1973,84,5.6,18
"6828","Booby Trap",1970,90,3.1,7
"6872","Boondock Saints, The",1999,110,7.7,17935
"6894","Bor lei jun",1999,99,5.3,1421
"6912","Border Patrol",1943,65,6.1,23
"6919","Border Vigilantes",1941,63,6.9,14
"6921","Border, The",1979,90,5.5,31
"6929","Bore Lee: U kandzama velegrada",2003,58,6.9,59
"6944","Boris and Natasha",1992,87,3.6,203
"6947","Born American",1986,95,4.5,212
"6955","Born Losers, The",1967,113,5.4,223
"6975","Born to Kill",1996,110,3.7,28
"6979","Born to Race",1988,98,2.9,16
"6986","Borrowed Trouble",1948,58,6,18
"6990","Borsalino & Co.",1974,110,5.2,209
