"","title","year","length","rating","votes","budget","budget class"
"3264","As You Desire Me",1932,70,6,107,460733,"0-10"
"3277","Asburied",2002,8,8.7,7,2000,"0-10"
"3278","Ascension",2004,85,8.8,12,5500,"0-10"
"3283","Asesino en serio",2002,84,5.8,90,2500000,"0-10"
"3291","Ash Wednesday",2005,23,8.6,12,4999,"0-10"
"3343","Assassination of Trotsky, The",1972,103,5,148,2500000,"0-10"
"3348","Assassins",1995,132,5.7,7354,50000000,"50-60"
"3355","Assault of the Killer Bimbos",1988,85,4,149,250000,"0-10"
"3358","Assault on Precinct 13",1976,91,7.3,4093,100000,"0-10"
"3359","Assault on Precinct 13",2005,109,6.3,2960,20000000,"20-30"
"3379","Assisted Living",2003,78,7.4,56,500000,"0-10"
"3387","Asterix in Amerika",1994,85,5.4,394,12500000,"10-20"
"3399","Astronaut's Wife, The",1999,109,4.8,7253,34000000,"30-40"
"3406","Aswang",1994,82,4.6,89,70000,"0-10"
"3411","Asylum of Satan",1975,80,2.9,78,50000,"0-10"
"3414","At Close Range",1986,111,6.6,1650,6500000,"0-10"
"3417","At First Sight",1999,128,5.7,3441,40000000,"40-50"
"3421","At Long Last Love",1975,105,4.3,193,6000000,"0-10"
"3422","At Night with No Curtains",2004,87,2.7,23,8000,"0-10"
"3455","Atlantic City",1980,104,7.5,2384,7200000,"0-10"
"3458","Atlantida",2002,93,7.6,9,1000000,"0-10"
"3466","Atlantis: The Lost Empire",2001,95,6.4,6323,90000000,"90-100"
"3467","Atlas",1961,79,4,26,70000,"0-10"
"3479","Atomic Submarine, The",1959,72,3.9,94,135000,"0-10"
"3489","Atrapados",1999,26,9.4,7,3500,"0-10"
"3496","Attack of the 50 Foot Woman",1958,65,4.5,521,88000,"0-10"
"3499","Attack of the Crab Monsters",1957,62,4,207,70000,"0-10"
"3500","Attack of the Giant Leeches",1959,62,2.8,426,70000,"0-10"
"3519","Attic Expeditions, The",2001,100,5.4,384,1000000,"0-10"
"3520","Attic Man",2004,10,8.7,7,6000,"0-10"
"3522","Attila",1954,100,5.2,67,900000,"0-10"
"3556","Auch Zwerge haben klein angefangen",1970,96,7.2,330,200000,"0-10"
"3598","Aura",2002,22,8.5,6,19000,"0-10"
"3600","Aurora",1998,87,4.5,59,90000,"0-10"
"3611","Austerlitz",1960,122,5.1,82,4000000,"0-10"
"3613","Austin Powers in Goldmember",2002,94,6.2,22870,63000000,"60-70"
"3614","Austin Powers: International Man of Mystery",1997,94,7,33755,17000000,"10-20"
"3615","Austin Powers: The Spy Who Shagged Me",1999,95,6.5,37019,33000000,"30-40"
"3622","Auteur Theory, The",1999,79,4.5,76,70000,"0-10"
"3625","Auto Focus",2002,105,6.7,3276,7000000,"0-10"
"3641","Automation",2004,26,6.1,13,41000,"0-10"
"3666","Autumn in New York",2000,103,4.7,3731,40000000,"40-50"
"3677","Avalon",2001,106,6.8,2723,8000000,"0-10"
"3682","Avanti popolo",1986,84,8.8,51,60000,"0-10"
"3683","Avanti!",1972,140,7.2,1043,2750000,"0-10"
"3690","Avatars",2001,5,3.3,7,20000,"0-10"
"3696","Avengers, The",1998,89,3.4,11499,60000000,"60-70"
"3727","Aviator, The",2004,170,7.5,16217,116000000,"110-120"
"3758","Awfully Big Adventure, An",1995,112,5.8,608,4000000,"0-10"
"3774","Ayurveda: Art of Being",2001,102,7.2,52,300000,"0-10"
"3799","BUtterfield 8",1960,109,6,717,2500000,"0-10"
"3832","Babe",1995,89,7.4,16988,30000000,"30-40"
"3835","Babe: Pig in the City",1998,97,6.5,3827,80000000,"80-90"
"3836","Babel",1999,95,4.5,53,20000000,"20-30"
"3838","Babes in Arms",1939,93,6.5,239,748000,"0-10"
"3844","Babes on Broadway",1941,118,6.5,171,940068,"0-10"
"3858","Baby Blue",2001,119,6.4,98,2500000,"0-10"
"3864","Baby Boy",2001,130,6.2,1476,16000000,"10-20"
"3876","Baby Face",1933,71,6.4,260,187000,"0-10"
"3883","Baby Geniuses",1999,97,2.4,3142,13000000,"10-20"
"3884","Baby It's You",1983,105,6.3,435,3000000,"0-10"
"3900","Baby's Day Out",1994,99,4.4,1856,50000000,"50-60"
"3927","Bacheha-Ye aseman",1997,89,7.6,1499,180000,"0-10"
"3930","Bachelor Father, The",1931,90,5.5,35,502000,"0-10"
"3940","Bachelor, The",1999,101,5,4183,21000000,"20-30"
"3974","Back to God's Country",1919,73,6.4,66,67000,"0-10"
"3979","Back to the Future",1985,111,8.1,68647,19000000,"10-20"
"3980","Back to the Future Part II",1989,108,7,28547,40000000,"40-50"
"3981","Back to the Future Part III",1990,118,6.7,24682,40000000,"40-50"
"3982","Back to the Future... The Ride",1991,4,7.3,655,40000000,"40-50"
"4025","Bad Boy Bubby",1993,112,7,1033,750000,"0-10"
"4027","Bad Boys",1995,118,6.4,15326,23000000,"20-30"
"4028","Bad Boys II",2003,145,6.1,13087,130000000,"130-140"
"4035","Bad Company",2002,116,5.4,6175,70000000,"70-80"
"4039","Bad Dreams",1988,84,4.2,309,4000000,"0-10"
"4048","Bad Girls from Mars",1991,86,3.7,50,52000,"0-10"
"4072","Bad Moon",1996,80,4.4,519,7000000,"0-10"
"4077","Bad Santa",2003,98,7.2,11189,18000000,"10-20"
"4078","Bad Seed, The",1956,129,7.3,1229,1000000,"0-10"
"4080","Bad Taste",1987,86,6.9,7048,150000,"0-10"
"4082","Bad and the Beautiful, The",1952,118,7.6,1358,1558000,"0-10"
"4094","Badge, The",2002,103,6.3,740,6000000,"0-10"
"4095","Badkonake sefid",1995,85,7.4,618,150000,"0-10"
"4097","Badlands",1973,94,7.7,4763,500000,"0-10"
"4132","Bait",2000,119,5.6,1884,35000000,"30-40"
"4194","Ballad of Cable Hogue, The",1970,121,7.2,712,3716946,"0-10"
"4196","Ballad of Jack and Rose, The",2005,112,6.2,269,1500000,"0-10"
"4221","Ballistic: Ecks vs. Sever",2002,91,3.4,4556,70000000,"70-80"
"4253","Bamboozled",2000,135,6.3,2356,10000000,"10-20"
"4259","Bananas",1971,82,7.1,4252,2000000,"0-10"
"4270","Band Wagon, The",1953,111,7.5,1207,2169120,"0-10"
"4272","Band of the Hand",1986,109,4.9,378,8700000,"0-10"
"4299","Bandits",2001,123,6.7,12382,80000000,"80-90"
"4316","Banger Sisters, The",2002,98,5.6,3189,10000000,"10-20"
"4330","Bank Robbery, The",2003,2,5.7,11,1000,"0-10"
"4349","Baptists at Our Barbecue",2004,92,5.9,62,500000,"0-10"
"4377","Barbarella",1968,98,5.6,4653,9000000,"0-10"
"4380","Barbarian and the Geisha, The",1958,105,4.7,226,3500000,"0-10"
"4381","Barbarian, The",1933,83,6.2,57,444399,"0-10"
"4382","Barbarians, The",1960,84,4.5,18,750000,"0-10"
"4383","Barbarians, The",1987,87,3.5,341,4000000,"0-10"
"4386","Barbary Coast",1935,91,6.6,168,778000,"0-10"
"4396","Barbershop",2002,102,6.6,4943,12000000,"10-20"
"4397","Barbershop 2: Back in Business",2004,106,5.7,1580,18000000,"10-20"
"4405","Barcelona",1994,101,6.6,1570,3200000,"0-10"
"4432","Barkleys of Broadway, The",1949,109,6.6,285,2325420,"0-10"
"4435","Barn Dance, The",1929,7,5.9,22,5121,"0-10"
"4445","Barney's Great Adventure",1998,76,2.9,249,15000000,"10-20"
"4473","Barriers",1998,96,8,6,140000,"0-10"
"4477","Barry Lyndon",1975,184,8,12285,11000000,"10-20"
"4486","Barton Fink",1991,116,7.5,10223,9000000,"0-10"
"4497","Bashful Bachelor, The",1942,78,5.7,7,165000,"0-10"
"4503","Basic",2003,98,6.2,8370,50000000,"50-60"
"4504","Basic Instinct",1992,128,6.7,19520,49000000,"40-50"
"4507","Basil",1998,113,6.1,367,10000000,"10-20"
"4512","Basket Case 2",1990,90,3.9,310,2500000,"0-10"
"4514","Basket, The",1999,105,6.3,200,3000000,"0-10"
"4556","Bathing Beauty",1944,101,6.1,143,2361000,"0-10"
"4557","Batman",1989,126,7.4,35927,35000000,"30-40"
"4558","Batman & Robin",1997,125,3.6,28457,110000000,"110-120"
"4559","Batman Forever",1995,122,5.4,24025,100000000,"100-110"
"4560","Batman Returns",1992,126,6.5,23010,80000000,"80-90"
"4563","Batman: Dead End",2003,8,7.3,805,30000,"0-10"
"4566","Batoru rowaiaru",2000,122,7.9,12138,4500000,"0-10"
"4567","Batoru rowaiaru II: Rekuiemu",2003,155,4.8,2117,9000000,"0-10"
"4585","Battle Beyond the Stars",1980,104,4.9,1059,2000000,"0-10"
"4597","Battle for the Planet of the Apes",1973,96,4.9,2335,1800000,"0-10"
"4598","Battle of Britain",1969,151,6.7,1728,12000000,"10-20"
"4606","Battle of Shaker Heights, The",2003,90,6,854,1000000,"0-10"
"4619","Battlefield Earth: A Saga of the Year 3000",2000,119,2.4,14970,73000000,"70-80"
"4646","Be Cool",2005,118,5.5,4560,53000000,"50-60"
"4648","Be Good Daniel",2004,20,5.7,8,4000,"0-10"
"4671","Beach Party",1963,101,5.3,226,350000,"0-10"
"4677","Beach, The",2000,119,5.8,15020,50000000,"50-60"
"4683","Bean",1997,90,5.4,9018,22000000,"20-30"
"4684","Bean Cake",2001,12,6.8,36,12000,"0-10"
