"","title","year","length","rating","votes","budget","genre"
"2106","American Beauty",1999,121,8.5,109991,15000000,"drama"
"2114","American Boy: A Profile of: Steven Prince",1978,55,7.2,69,155000,"documentary"
"2131","American Drive-In",1985,92,4.1,25,10000000,"comedy"
"2149","American History X",1998,119,8.4,59677,10000000,"drama"
"2154","American Jedi",2002,8,7.9,9,2000,"comedy"
"2160","American Me",1992,125,6.6,697,16000000,"drama"
"2178","American Pie",1999,95,6.8,41126,11000000,"comedy"
"2179","American Pie 2",2001,105,6.3,22752,30000000,"comedy"
"2182","American Psycho",2000,102,6.8,21639,8000000,"drama"
"2183","American Raspberry",1977,75,5.5,17,50000,"comedy"
"2208","American Wedding",2003,103,6.3,13590,55000000,"comedy"
"2213","American in Paris, An",1951,113,7.4,3736,2723903,"romance"
"2252","Amistad",1997,152,7,10543,40000000,"drama"
"2296","Amor y el espanto, El",2001,110,7,7,650000,"drama"
"2321","Amores perros",2000,153,8.2,15079,2000000,"drama"
"2382","Anaconda",1997,89,4.1,10510,45000000,"action"
"2391","Analyze This",1999,109,6.6,24521,30000000,"comedy"
"2403","Anastasia",1997,94,6.5,4896,53000000,"animation"
"2429","Anchorman: The Legend of Ron Burgundy",2004,104,6.5,11553,26000000,"comedy"
"2438","And I Lived",2005,107,9.4,5,20000,"drama"
"2441","And Now for Something Completely Different",1971,85,7.4,3539,100000,"comedy"
"2449","And Then Came Summer",2000,115,4.1,60,2300,"drama"
"2499","Andy in Love",2004,11,8.2,5,4000,"drama"
"2557","Angela's Ashes",1999,145,6.8,4347,25000000,"drama"
"2593","Anger Management",2003,106,6,14280,75000000,"comedy"
"2617","Anima",2003,26,7.9,12,50000,"drama"
"2628","Animal House",1978,109,7.5,17609,3000000,"comedy"
"2637","Animal, The",2001,84,4.8,5605,22000000,"comedy"
"2679","Ann Vickers",1933,76,6.1,46,303000,"drama"
"2687","Anna Christie",1930,89,6.6,252,376000,"drama"
"2691","Anna Karenina",1935,95,7.3,476,1152000,"drama"
"2763","Another Language",1933,77,6.6,12,272297,"drama"
"2773","Another Woman",1988,84,7.2,1380,10000000,"drama"
"2774","Another You",1991,94,4.4,398,26000000,"comedy"
"2797","Anthrax",2001,90,4.1,49,2500000,"drama"
"2812","Antikiller",2002,114,5.4,231,5000000,"action"
"2817","Antitrust",2001,108,6,7326,30000000,"drama"
"2818","Antman, The",2002,94,7.2,53,800000,"comedy"
"2831","Antony and Cleopatra",1972,160,4.9,84,1600000,"drama"
"2836","Antwone Fisher",2002,117,7.4,4472,12500000,"drama"
"2845","Any Given Sunday",1999,156,6.4,19531,62000000,"drama"
"2848","Any Number Can Play",1949,112,6.3,67,1465641,"drama"
"2859","Anyone",2004,8,9.6,7,1000,"drama"
"2862","Anything Goes",1936,92,6,44,1100000,"comedy"
"2867","Anywhere But Here",1999,114,5.9,4007,23000000,"drama"
"2927","Apollo 13",1995,140,7.5,41098,62000000,"drama"
"2931","Apostle, The",1997,134,7.2,4231,5000000,"drama"
"2988","Apt Pupil",1998,112,6.4,6728,14000000,"drama"
"3012","Arachnophobia",1990,103,6.1,8608,31000000,"comedy"
"3061","Are These Our Children",1931,84,6,26,400000,"drama"
"3064","Are We There Yet?",2005,95,3.5,1043,32000000,"comedy"
"3069","Are You Popular?",1947,10,4.3,18,11000,"drama"
"3124","Arlington Road",1999,117,7.1,17189,21500000,"drama"
"3129","Armageddon",1998,153,5.7,45330,140000000,"action"
"3137","Armed Response",1986,86,4.2,70,1500000,"action"
"3163","Around the World in Eighty Days",1956,175,6.8,2589,6000000,"comedy"
"3229","Artie Shaw: Time Is All You've Got",1985,114,7.9,18,250000,"documentary"
"3231","Artificial Intelligence: AI",2001,146,6.8,36623,90000000,"drama"
"3238","Artists and Models",1955,109,6.2,433,1500000,"comedy"
"3264","As You Desire Me",1932,70,6,107,460733,"drama"
"3278","Ascension",2004,85,8.8,12,5500,"drama"
"3283","Asesino en serio",2002,84,5.8,90,2500000,"comedy"
"3343","Assassination of Trotsky, The",1972,103,5,148,2500000,"drama"
"3348","Assassins",1995,132,5.7,7354,50000000,"action"
"3355","Assault of the Killer Bimbos",1988,85,4,149,250000,"comedy"
"3358","Assault on Precinct 13",1976,91,7.3,4093,100000,"action"
"3417","At First Sight",1999,128,5.7,3441,40000000,"drama"
"3422","At Night with No Curtains",2004,87,2.7,23,8000,"drama"
"3479","Atomic Submarine, The",1959,72,3.9,94,135000,"action"
"3520","Attic Man",2004,10,8.7,7,6000,"comedy"
"3522","Attila",1954,100,5.2,67,900000,"drama"
"3556","Auch Zwerge haben klein angefangen",1970,96,7.2,330,200000,"drama"
"3611","Austerlitz",1960,122,5.1,82,4000000,"drama"
"3622","Auteur Theory, The",1999,79,4.5,76,70000,"comedy"
"3625","Auto Focus",2002,105,6.7,3276,7000000,"drama"
"3682","Avanti popolo",1986,84,8.8,51,60000,"drama"
"3690","Avatars",2001,5,3.3,7,20000,"action"
"3696","Avengers, The",1998,89,3.4,11499,60000000,"action"
"3727","Aviator, The",2004,170,7.5,16217,116000000,"drama"
"3758","Awfully Big Adventure, An",1995,112,5.8,608,4000000,"drama"
"3774","Ayurveda: Art of Being",2001,102,7.2,52,300000,"documentary"
"3799","BUtterfield 8",1960,109,6,717,2500000,"drama"
"3835","Babe: Pig in the City",1998,97,6.5,3827,80000000,"comedy"
"3876","Baby Face",1933,71,6.4,260,187000,"drama"
"3883","Baby Geniuses",1999,97,2.4,3142,13000000,"comedy"
"3900","Baby's Day Out",1994,99,4.4,1856,50000000,"comedy"
"3974","Back to God's Country",1919,73,6.4,66,67000,"romance"
"3980","Back to the Future Part II",1989,108,7,28547,40000000,"comedy"
"3981","Back to the Future Part III",1990,118,6.7,24682,40000000,"comedy"
"4048","Bad Girls from Mars",1991,86,3.7,50,52000,"comedy"
"4072","Bad Moon",1996,80,4.4,519,7000000,"action"
"4077","Bad Santa",2003,98,7.2,11189,18000000,"comedy"
"4080","Bad Taste",1987,86,6.9,7048,150000,"comedy"
"4082","Bad and the Beautiful, The",1952,118,7.6,1358,1558000,"drama"
"4095","Badkonake sefid",1995,85,7.4,618,150000,"drama"
"4097","Badlands",1973,94,7.7,4763,500000,"drama"
"4194","Ballad of Cable Hogue, The",1970,121,7.2,712,3716946,"comedy"
"4196","Ballad of Jack and Rose, The",2005,112,6.2,269,1500000,"drama"
"4221","Ballistic: Ecks vs. Sever",2002,91,3.4,4556,70000000,"action"
"4259","Bananas",1971,82,7.1,4252,2000000,"comedy"
"4270","Band Wagon, The",1953,111,7.5,1207,2169120,"comedy"
"4330","Bank Robbery, The",2003,2,5.7,11,1000,"comedy"
"4380","Barbarian and the Geisha, The",1958,105,4.7,226,3500000,"drama"
"4397","Barbershop 2: Back in Business",2004,106,5.7,1580,18000000,"comedy"
"4432","Barkleys of Broadway, The",1949,109,6.6,285,2325420,"comedy"
"4486","Barton Fink",1991,116,7.5,10223,9000000,"drama"
"4497","Bashful Bachelor, The",1942,78,5.7,7,165000,"comedy"
"4503","Basic",2003,98,6.2,8370,50000000,"drama"
"4512","Basket Case 2",1990,90,3.9,310,2500000,"comedy"
"4514","Basket, The",1999,105,6.3,200,3000000,"drama"
"4556","Bathing Beauty",1944,101,6.1,143,2361000,"comedy"
"4557","Batman",1989,126,7.4,35927,35000000,"action"
"4558","Batman & Robin",1997,125,3.6,28457,110000000,"action"
"4563","Batman: Dead End",2003,8,7.3,805,30000,"action"
"4567","Batoru rowaiaru II: Rekuiemu",2003,155,4.8,2117,9000000,"action"
"4619","Battlefield Earth: A Saga of the Year 3000",2000,119,2.4,14970,73000000,"action"
"4646","Be Cool",2005,118,5.5,4560,53000000,"comedy"
"4677","Beach, The",2000,119,5.8,15020,50000000,"drama"
"4683","Bean",1997,90,5.4,9018,22000000,"comedy"
"4723","Beast of the City, The",1932,86,7.3,112,230000,"drama"
"4727","Beaster",2004,10,6.9,9,5000,"comedy"
"4731","Beastmaster 2: Through the Portal of Time",1991,107,3.1,564,6000000,"action"
"4742","Beat the Drum",2003,114,7,26,1500000,"drama"
"4774","Beautiful Country, The",2004,137,6.9,115,6000000,"drama"
"4780","Beautiful Mind, A",2001,135,7.8,43291,60000000,"drama"
"4798","Beauty in Chaos",2004,120,8.8,11,30000,"drama"
"4819","Becket",1964,148,8,1538,3000000,"drama"
"4820","Becky Sharp",1935,67,6.2,103,950000,"drama"
"4829","Bedazzled",2000,93,5.9,11439,48000000,"comedy"
"4836","Bedknobs and Broomsticks",1971,139,6.5,2614,20000000,"animation"
"4868","Beer Muscles",2004,90,9.3,11,5000,"comedy"
"4878","Beetle Juice",1988,92,7.1,20966,15000000,"comedy"
"4937","Behold a Pale Horse",1964,121,6.7,114,3900000,"drama"
"4971","Bela Lugosi Meets a Brooklyn Gorilla",1952,74,2.6,161,50000,"comedy"
"5009","Bellboy, The",1960,72,6.1,369,900000,"comedy"
"5027","Belle of the Nineties",1934,73,6.3,84,800000,"comedy"
"5052","Belly",1998,96,4.5,1034,10000000,"drama"
"5054","Belly of the Beast",2003,91,4.2,638,18000000,"action"
"5061","Beloved",1998,172,5.6,1934,53000000,"drama"
"5074","Below the Belt",2004,95,7.9,15,1500000,"comedy"
"5109","Beneath the Valley of the Ultra-Vixens",1979,93,5.2,402,239000,"comedy"
"5133","Beowulf",1999,99,3.7,2058,20000000,"action"
"5207","Best Foot Forward",1943,94,6.2,97,1125502,"comedy"
"5212","Best Laid Plans",1999,92,6.3,1795,7000000,"drama"
"5227","Best in Show",2000,90,7.5,11790,6000000,"comedy"
"5270","Better Luck Tomorrow",2002,98,7.3,2697,250000,"drama"
"5272","Better Place, A",1997,87,5.8,447,100000,"drama"
"5276","Better Than Sex",2002,92,6.8,90,300000,"comedy"
"5279","Bettie Page: Dark Angel",2004,90,3.4,21,50000,"drama"
"5363","Beyond Expectations",1998,94,7.6,5,60000,"comedy"
"5371","Beyond Rangoon",1995,100,6.4,1285,23000000,"drama"
"5372","Beyond Re-Animator",2003,96,6.1,908,3000000,"comedy"
"5394","Beyond the Mat",1999,108,7.3,2243,500000,"documentary"
"5397","Beyond the Pale",1999,96,6.2,62,350000,"drama"
"5404","Beyond the Sea",2004,118,6.7,1051,24000000,"drama"
"5441","Bible!",1974,84,3.6,11,35000,"romance"
"5442","Bible, The",1966,174,5.2,411,18000000,"drama"
"5470","Big",1988,104,7.2,18660,18000000,"comedy"
"5488","Big Bounce, The",2004,88,4.7,2505,50000000,"comedy"
"5491","Big Brass Ring, The",1999,104,5.4,271,7000000,"drama"
"5522","Big Daddy",1999,93,5.9,18258,34200000,"comedy"
"5532","Big Fat Liar",2002,88,5.5,2453,15000000,"comedy"
"5536","Big Fisherman, The",1959,180,5.8,54,4000000,"drama"
"5567","Big Lebowski, The",1998,117,8,50179,15000000,"comedy"
"5573","Big Momma's House",2000,98,4.7,7509,30000000,"comedy"
"5608","Big Snatch, The",1968,77,4.4,17,11000,"drama"
"5626","Big Tease, The",1999,86,6.1,670,4000000,"comedy"
"5639","Big Trouble",2002,85,6.4,4088,40000000,"comedy"
"5691","Bill & Ted's Bogus Journey",1991,93,5.6,8152,20000000,"comedy"
"5692","Bill & Ted's Excellent Adventure",1989,90,6.6,12277,10000000,"comedy"
"5697","Bill of Divorcement, A",1932,70,6.5,183,300000,"drama"
"5717","Billy Elliot",2000,110,7.7,16725,5000000,"drama"
"5760","Bingo",1991,89,4.1,374,10000000,"comedy"
"5763","Bingo Bus, A",2004,30,6.6,7,4000,"documentary"
"5784","Bird",1988,161,7.1,1243,9000000,"drama"
"5805","Birds, The",1963,119,7.8,20072,2500000,"drama"
"5808","Birdy in the Cage",2003,9,9,5,2000,"comedy"
"5812","Birth of a Nation, The",1915,125,7.1,2617,110000,"drama"
"5857","Bitter Old Man",2003,7,8.8,8,2000,"drama"
"5905","Black Cauldron, The",1985,80,6.2,1895,44000000,"animation"
"5933","Black Gold",1947,90,6,17,450000,"drama"
"5935","Black Gulch",2003,15,6,20,55000,"action"
"5957","Black Knight",2001,95,4.1,3822,50000000,"comedy"
"5959","Black Legion",1937,83,6.8,218,235000,"drama"
"6045","Black and White",1999,98,5.2,1699,10000000,"drama"
"6050","Black-Eyed Susan",2004,105,7.4,5,50000,"comedy"
"6080","Blackwater Elegy",2003,19,9,10,40000,"drama"
"6086","Blade",1998,110,6.8,24372,45000000,"action"
"6087","Blade II",2002,108,6.6,17139,55000000,"action"
"6090","Blade: Trinity",2004,124,5.7,7439,65000000,"action"
"6140","Blazing Saddles",1974,93,7.7,17166,2600000,"comedy"
"6188","Blind Horizon",2003,99,5.5,801,5100000,"drama"
"6225","Blob, The",1958,82,6,2143,240000,"comedy"
"6278","Blondie of the Follies",1932,91,6,53,602620,"comedy"
"6295","Blood & Guts",1978,94,4.6,14,700000,"drama"
"6323","Blood Money",1933,65,7.6,20,238591,"drama"
"6350","Blood Work",2002,110,6.3,5965,50000000,"drama"
"6357","Blood and Wine",1996,101,6,2134,26000000,"drama"
"6368","Blood of Jesus, The",1941,68,4.5,44,5000,"drama"
"6373","Blood of the Samurai",2001,75,6.5,18,2000,"action"
"6416","Bloodsucking Pharaohs in Pittsburgh",1991,89,3.6,80,250000,"comedy"
"6420","Bloody Brood, The",1959,80,4.2,11,80000,"drama"
"6431","Bloody Sunday",2002,107,7.6,2388,5000000,"drama"
"6442","Blotter",2004,20,7.1,7,15000,"drama"
"6444","Blow",2001,124,7.1,18670,30000000,"drama"
"6458","Blowup",1966,111,7.4,4194,1800000,"drama"
"6479","Blue Citrus Hearts",2003,115,7,34,3000,"drama"
"6501","Blue Hill Avenue",2001,120,6.6,85,1200000,"drama"
"6537","Blue Velvet",1986,120,7.7,18756,6000000,"drama"
"6542","Blue in Green",2005,91,9.1,13,50000,"drama"
"6543","Blue in the Face",1995,83,6.4,2306,2000000,"comedy"
"6553","Bluefish",2003,24,7.6,5,7000,"drama"
"6556","Blues Brothers 2000",1998,123,4.5,5267,28000000,"comedy"
"6580","Boat Trip",2002,97,4.5,2991,20000000,"comedy"
"6639","Body Double",1984,114,6.3,3543,10000000,"drama"
"6664","Body of Evidence",1993,102,4.1,2625,30000000,"romance"
"6694","Boiler Room",2000,118,6.8,8586,9000000,"drama"
"6710","Bold Caballero, The",1936,67,4.9,15,100000,"romance"
"6779","Bone Collector, The",1999,118,6.2,17766,48000000,"drama"
"6811","Bono",2004,97,1,14,250000,"drama"
"6831","Boogeyman",2005,89,4.1,2055,20000000,"drama"
"6837","Boogie Nights",1997,156,7.6,27380,15000000,"drama"
"6841","Book That Wrote Itself, The",1999,71,4.5,66,25000,"comedy"
"6846","Book of Life, The",1998,63,6.7,551,350000,"comedy"
"6862","Boom",1968,110,4,166,10000000,"drama"
"6878","Boot, Das",1981,216,8.5,28920,14000000,"drama"
"6967","Born on the Fourth of July",1989,145,7,11480,14000000,"drama"
"6988","Borrowers, The",1997,89,5.6,1457,29000000,"comedy"
"7005","Bossu, Le",1997,128,7.1,668,30000000,"drama"
"7025","Bottle and the Throttle, The",1968,10,3.8,7,1000,"drama"
"7031","Bottomfeeders",2001,92,7.4,7,500000,"comedy"
"7061","Bound",1996,109,7.5,11911,4500000,"romance"
"7101","Bowfinger",1999,97,6.4,15000,55000000,"comedy"
"7109","Boxcar Bertha",1972,92,5.8,590,600000,"drama"
"7115","Boxers and Ballerinas",2004,90,7.7,7,85000,"documentary"
"7156","Boy s tenyu",2005,132,4.8,77,3500000,"action"
"7163","Boy-Next-Door",2004,17,9.4,19,50000,"comedy"
"7170","Boys Beware",1961,10,4.2,21,1000,"drama"
"7174","Boys Don't Cry",1999,118,7.6,14456,2000000,"drama"
"7181","Boys Next Door, The",1986,90,5.8,308,5000000,"drama"
"7190","Boys from Brazil, The",1978,123,6.8,2826,12000000,"drama"
"7196","Boys in the Band, The",1970,118,7.3,448,5500000,"drama"
"7211","Boyz n the Hood",1991,107,7.7,10319,6000000,"drama"
"7217","Brady Bunch Movie, The",1995,90,5.6,4636,12000000,"comedy"
"7268","Brat 2",2000,122,6.7,528,1500000,"action"
"7269","Brat, The",1931,60,2,12,243093,"comedy"
"7293","Brazil",1985,94,8,30735,15000000,"comedy"
"7299","Break Up",1998,100,5.1,393,9000000,"drama"
"7308","Breakdown",1997,95,6.7,7099,36000000,"action"
"7317","Breakfast of Champions",1999,110,4.2,2250,12000000,"comedy"
"7359","Breed, The",2001,91,4.7,582,4000000,"action"
"7403","Bride of Chucky",1998,89,5.2,4449,25000000,"comedy"
"7404","Bride of Frankenstein",1935,75,8.1,4734,397000,"drama"
"7412","Bride of the Wind",2001,99,5.2,201,12000000,"drama"
"7427","Bridge on the River Kwai, The",1957,161,8.4,22408,3000000,"drama"
"7451","Brigadoon",1954,108,6.8,1286,2352625,"romance"
"7457","Brigham City",2001,119,7.1,405,1000000,"drama"
"7481","Bring It On",2000,98,6.1,11784,10000000,"comedy"
"7482","Bring Me the Head of Alfredo Garcia",1974,112,7.1,1163,1500000,"drama"
"7490","Bringing Down the House",2003,105,5.6,6501,35000000,"comedy"
"7491","Bringing Out the Dead",1999,121,6.7,13989,32000000,"drama"
"7510","Broadway Bad",1933,61,6,10,239308,"drama"
"7513","Broadway Danny Rose",1984,84,7.3,2661,8000000,"comedy"
"7541","Broken Arrow",1996,108,5.7,14415,65000000,"action"
"7559","Broken Lullaby",1932,76,7.2,66,889154,"drama"
"7568","Broken Vessels",1998,90,6.1,223,600000,"drama"
"7580","Bronx Tale, A",1993,121,7.5,9175,22000000,"drama"
"7586","Brooklyn Bound",2004,90,4.2,30,70000,"drama"
"7623","Brothers in Arms",2003,68,4.6,23,500000,"documentary"
"7630","Brown Bunny, The",2003,119,5.1,1045,10000000,"drama"
"7691","Bubba Ho-tep",2002,92,7.5,7142,1000000,"comedy"
"7712","Buck Privates",1941,84,6.8,461,180000,"comedy"
"7722","Bucket of Blood, A",1959,66,6.6,416,25000,"comedy"
"7732","Budbringeren",1997,83,6.8,732,2100000,"comedy"
"7742","Buddy Buddy",1981,96,6.2,761,10000000,"comedy"
"7754","Buena onda",1999,11,5.2,10,2000,"drama"
"7763","Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,123,5.6,452,6000000,"comedy"
"7778","Bug Man, The",2003,22,6.7,16,28000,"drama"
"7796","Bugsy",1991,134,6.6,4159,40000000,"drama"
"7866","Bumer",2003,110,6.5,264,700000,"drama"
"7909","Burglar, The",1957,90,7,47,90000,"drama"
"7957","Burying Dvorak",2003,19,9.4,8,5000,"comedy"
"7979","Business of Fancydancing, The",2002,103,7.3,195,200000,"drama"
"7983","Bussed",2003,31,5.2,9,10000,"comedy"
"7999","Busting Out",2004,57,9.4,5,100000,"documentary"
"8027","Butterfly Effect, The",2004,120,7.6,22975,13000000,"drama"
"8078","C'era una volta il West",1968,158,8.7,17241,5000000,"drama"
"8117","Cabaret",1972,124,7.8,7176,6000000,"drama"
"8132","Cabiria",1914,162,7.6,216,210000,"drama"
"8148","Cachimba",2004,127,6.6,22,950000,"comedy"
"8167","Caddyshack",1980,98,7.1,13453,6000000,"comedy"
"8187","Cafe Society",1995,104,5.7,137,3500000,"drama"
"8189","Caffeine Headache",2003,24,7.7,9,2000,"comedy"
"8254","California Casanova",1991,90,4.9,30,350000,"comedy"
"8272","Call Her Savage",1932,89,6.9,91,489652,"drama"
"8381","Camp Pacific",2002,29,9.1,21,35000,"drama"
"8422","Can't Stop the Music",1980,118,3.4,512,20000000,"comedy"
"8431","Canadian Bacon",1995,91,5.5,3514,11000000,"comedy"
"8463","Candyman",1992,99,6.3,4735,8000000,"drama"
"8520","Cape Fear",1991,128,7.1,15585,35000000,"drama"
"8553","Capricorn One",1978,123,6.4,2591,5000000,"drama"
"8599","Captains Courageous",1937,115,7.7,1123,1645000,"drama"
"8642","Carabiniers, Les",1963,80,6.9,330,140000,"drama"
"8649","Carandiru",2003,147,7.7,1608,6000000,"drama"
"8719","Carmen Jones",1954,108,7,534,750000,"drama"
"8782","Carpetbaggers, The",1964,150,6.1,341,3000000,"drama"
"8783","Carpool",1996,89,4.5,829,17000000,"comedy"
"8788","Carrie",1976,98,7.2,11778,1800000,"drama"
"8933","Casino",1995,176,7.8,27234,52000000,"drama"
"8944","Casper",1995,100,5.6,8798,55000000,"comedy"
"8956","Cast Away",2000,143,7.3,34580,90000000,"drama"
"8980","Casualties of War",1989,113,6.8,4459,22500000,"drama"
"8999","Cat People",1942,73,7.4,1239,134000,"romance"
"9000","Cat People",1982,118,5.8,2862,18000000,"drama"
"9011","Cat in the Hat, The",2003,82,3.2,4997,109000000,"comedy"
"9012","Cat on a Hot Tin Roof",1958,108,7.8,4870,3000000,"drama"
"9016","Cat's Eye",1985,94,5.7,2301,7000000,"comedy"
"9023","Cat's-Paw, The",1934,102,6.8,93,617000,"comedy"
"9033","Catch Me If You Can",2002,141,7.6,39915,52000000,"drama"
"9060","Cats & Dogs",2001,87,5.4,6487,60000000,"comedy"
"9082","Catwoman",2004,104,3.4,8815,85000000,"action"
"9122","Cavalieri che fecero l'impresa, I",2001,147,5.7,123,8000000,"drama"
"9146","Cecil B. DeMented",2000,87,6,3464,10000000,"comedy"
"9156","Celebrity",1998,113,6.1,4820,12000000,"comedy"
"9168","Cellular",2004,94,6.4,6182,25000000,"action"
"9202","Centipede!",2004,90,3.6,35,500000,"action"
"9206","Central Airport",1933,72,5.3,44,356000,"drama"
"9209","Central do Brasil",1998,108,7.9,8980,2900000,"drama"
"9264","Chafed Elbows",1966,63,2.1,16,25000,"comedy"
"9279","Chain of Fools",2000,96,6.1,845,20000000,"comedy"
"9292","Chairman of the Board",1998,95,2.6,666,10000000,"comedy"
"9313","Chamber, The",1996,113,5.7,2540,50000000,"drama"
"9352","Chandelier",2004,20,8.7,7,32000,"drama"
"9375","Changing Lanes",2002,99,6.6,12779,45000000,"drama"
"9380","Channeling Alphonse",2003,12,7.6,12,0,"comedy"
