"","title","year","length","rating","votes"
"2090","America a Roma, L'",1998,78,8.1,5
"2091","America at the Movies",1976,116,5.5,37
"2092","America the Beautiful",1958,16,4.2,6
"2093","America the Beautiful",1967,20,8.3,10
"2094","America the Beautiful",1975,20,9.4,9
"2095","America's Heart and Soul",2004,84,4.1,317
"2096","America's Hidden Weapon",1944,10,3.3,5
"2097","America's Sweetheart: The Mary Pickford Story",1978,73,9.3,7
"2100","America, Preferred",1941,7,5.9,5
"2109","American Beer",2004,105,9.4,19
"2114","American Boy: A Profile of: Steven Prince",1978,55,7.2,69
"2119","American Cowboy",1998,52,1.4,11
"2126","American Dream",1991,98,7.9,174
"2130","American Dreamer, The",1971,90,6.2,9
"2135","American Eunuchs",2003,80,7.2,19
"2136","American Exile",2001,26,9.1,10
"2137","American Fabulous",1991,103,5.5,29
"2138","American Fame Pt. 1: Drowning River Phoenix",2004,11,7.1,7
"2148","American History",1992,5,4.2,25
"2150","American History: Resettlement of Japanese Americans in Greater Cleveland, An",2000,53,8.9,11
"2151","American Hollow",1999,90,6.6,101
"2155","American Journeys",1984,21,7.6,12
"2162","American Movie: The Making of Northwestern",1999,107,7.5,3421
"2163","American Mullet",2001,52,6.4,55
"2164","American Mythologies",1981,104,3.4,7
"2166","American Nightmare, The",2000,73,6.8,306
"2173","American Passport",1999,82,4.9,13
"2176","American Pictures",1984,115,9.1,5
"2185","American Road, The",1953,37,2.1,5
"2191","American Short",2004,35,1.5,24
"2194","American Standoff",2002,95,7.5,34
"2195","American Storytellers",2003,90,6,11
"2207","American Waitress, New Mexico",2002,66,8,5
"2222","Americanos: Latino Life in the United States",2000,81,7,11
"2280","Amor Natural, O",1997,76,7.5,28
"2331","Amors bilar",1988,65,5.7,5
"2340","Amour de la vie - Artur Rubinstein, L'",1969,89,7.5,9
"2345","Amour existe, L'",1960,21,7.6,29
"2360","Amsterdam Global Village",1996,245,6.2,18
"2370","Amy Muller",1896,1,4.3,27
"2413","Anatomy of Desire",1995,48,7,5
"2483","Andrew and Jeremy Get Married",2004,75,7.1,13
"2498","Andy Warhol",1987,76,6.3,17
"2546","Angel on My Shoulder",1997,85,8.6,9
"2560","Angeli bianchi... angeli neri",1970,82,5.1,10
"2618","Anima Mundi",1992,28,7.9,162
"2634","Animal World, The",1956,82,5.6,12
"2643","Animals Are Beautiful People",1974,92,8,304
"2644","Animals Film, The",1981,136,8.3,10
"2648","Animated Motion #5",1978,8,6.3,10
"2654","Animaux, Les",1963,90,8,5
"2708","Anna: Ot shesti do vosemnadtsati",1993,100,7.6,134
"2750","Anonymously Yours",2002,90,6.9,13
"2769","Another State of Mind",1984,78,8,67
"2781","Antarctica",1991,40,7.3,78
"2791","Anthem",1997,124,5.1,36
"2805","Anti Glamour",1990,15,8.8,12
"2857","Anybody's Son Will Do",1983,57,8.6,5
"2865","Anything for John",1995,64,7.2,17
"2899","Aparte",2002,91,8.5,24
"2951","Appointment in Tokyo",1945,56,7,25
"2973","Appunti per un'Orestiade africana",1975,73,7.1,32
"2997","Aquatic Wizards",1955,10,2.6,23
"3007","Arabian Gun Twirler",1899,1,3.9,19
"3019","Arakimentari",2004,85,8.2,11
"3027","Araya",1959,90,7.9,16
"3034","Arbres",2002,50,8,8
"3086","Arguing the World",1998,106,5.9,27
"3141","Armee der Liebenden oder Revolte der Perversen",1979,107,6.7,10
"3147","Army Champions",1941,11,5.6,7
"3149","Army Medicine in Vietnam",1970,29,7.2,6
"3150","Army Pack Train Bringing Supplies",1906,2,4,10
"3152","Army of One",2003,69,9.6,9
"3153","Arna's Children",2003,84,8.8,28
"3165","Around the World of Mike Todd",1968,50,2.8,5
"3184","Arrival of McKinley's Funeral Train at Canton, Ohio",1901,1,4.4,31
"3196","Arruza",1972,73,7.5,6
"3205","Art Pepper: Notes from a Jazz Survivor",1982,48,9.4,5
"3229","Artie Shaw: Time Is All You've Got",1985,114,7.9,18
"3242","Aru eiga-kantoku no shogai",1975,132,9.4,11
"3246","Aruanda",1960,20,6.3,6
"3255","As Boys Grow...",1957,16,4.7,11
"3258","As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty",2000,320,9.1,26
"3275","Asaltar los cielos",1996,96,7.6,28
"3281","Asesinato en febrero",2001,84,7.5,18
"3282","Asesino de Pedralbes, El",1978,86,8.5,6
"3376","Assignment: Venezuela",1956,24,1.1,17
"3385","Asta e",2001,92,8.9,8
"3392","Astor Tramp, The",1899,2,3.6,13
"3409","Asylum",1998,78,8.6,5
"3432","At the Foot of the Flatiron",1903,3,4.6,17
"3434","At the Max",1991,89,7.3,88
"3445","Atarashii kamisama",1999,99,9,9
"3450","Athens, Ga.: Inside/Out",1987,82,7.1,41
"3451","Atlanten",1995,96,6.9,18
"3464","Atlantis",1991,78,6.7,364
"3474","Atomic Cafe, The",1982,92,7.6,724
"3507","Attack! Battle of New Britain",1944,51,6.5,16
"3515","Attention danger travail",2003,109,7.8,24
"3524","Attilas '74",1975,103,6,30
"3528","Attwengerfilm",1994,87,7.8,10
"3567","Auf allen Meeren",2002,95,5.6,9
"3571","Auf der Suche nach der verlorenen Zeit. Andrej Tarkowskijs Exil und Tod",1988,131,7.6,10
"3583","August: A Moment Before the Eruption",2002,72,5.2,11
"3600","Aurora",1998,87,4.5,59
"3618","Australia: Land Beyond Time",2002,40,8.9,11
"3639","Automat Kalaschnikow",2000,95,6.9,14
"3650","Autour de l'argent",1929,40,7.7,6
"3659","Autruches",1896,1,5.4,74
"3691","Avatars Offline",2002,78,5.7,26
"3730","Aviv",2003,80,8,8
"3755","Awful Normal",2004,76,6.5,13
"3762","Axis of Evil: Perforated Praeter Naturam",2004,84,8.6,5
"3770","Ayn Rand: A Sense of Life",1997,145,6.1,139
"3774","Ayurveda: Art of Being",2001,102,7.2,52
"3785","B'Glal Hamilhamah Hahi",1988,90,8.8,10
"3788","B-52",2001,122,6.4,22
"3847","Babies Quarrel",1896,1,6.2,70
"3891","Baby Snakes",1979,166,6,171
"3943","Bacio di Tosca, Il",1984,87,6.9,20
"4003","Backstage",2000,86,5,57
"4009","Backyard",1984,40,7,7
"4012","Backyard, The",2002,80,7.8,312
"4024","Bad Boy",2004,59,8.2,5
"4049","Bad Girls in the Movies",1986,56,5.1,5
"4176","Bald: The Making of 'THX 1138'",1971,8,6.6,19
"4177","Baldwin's Nigger",1968,46,5.6,15
"4193","Ballad of Bering Strait, The",2003,98,8.6,11
"4200","Ballad of Ramblin' Jack, The",2000,112,7.9,108
"4214","Ballet",1995,170,8.7,6
"4229","Ballot Measure 9",1995,72,6.8,25
"4234","Balnearios",2002,80,6.5,34
"4237","Balseros",2002,120,7.2,120
"4273","Banda de Ipanema - Folia de Albino",2003,86,8.9,7
"4313","Bang the Machine",2002,80,4.8,14
"4366","Baraka",1992,96,7.7,2987
"4370","Baraku empororu",1976,91,7.1,13
"4404","Barbra: Yesterday, Today and Forever!",1970,20,1.5,10
"4416","Barefoot Adventure",1960,74,5,10
"4421","Barenaked in America",1999,89,7.2,171
"4458","Barque sortant du port",1895,1,6,48
"4460","Barra 68 - Sem Perder a Ternura",2001,80,7.6,11
"4494","Baseball Girls",1996,82,4.1,9
"4505","Basic Training",1971,80,6.7,19
"4519","Bass Fishing",1901,1,3.3,5
"4544","Bataille de boules de neige",1896,1,7,73
"4549","Batalla de Chile: El poder popular, La",1979,100,8.9,30
"4590","Battle Stations",1944,10,4.9,5
"4599","Battle of Britain, The",1943,54,8.6,81
"4600","Battle of China, The",1944,65,7.9,60
"4601","Battle of Gettysburg, The",1955,30,7.1,47
"4603","Battle of Midway, The",1942,18,6.6,127
"4605","Battle of Russia, The",1943,83,8.1,75
"4608","Battle of the Bulge... The Brave Rifles, The",1965,52,8.1,13
"4617","BattleGround: 21 Days on the Empire's Edge",2004,82,9.7,6
"4626","Bauernkrieg",1998,84,7,5
"4639","Bayerische Rebell, Der",2004,92,8.2,9
"4647","Be Glad for the Song Has No Ending",1970,50,8,7
"4649","Be Good, Smile Pretty",2003,52,7.9,19
"4650","Be Here to Love Me: A Film About Townes Van Zandt",2004,99,8.5,17
"4664","Beach Boys: An American Band, The",1985,103,6.9,63
"4687","Bear Country",1953,33,9.5,17
"4748","Beatles Come to Town, The",1963,8,8.9,12
"4773","Beautiful Budapest",1938,9,5.7,5
"4778","Beautiful Japan",1918,133,6.3,13
"4786","Beautopia",1998,104,6,17
"4803","Beaver Trilogy, The",2001,83,7.1,73
"4804","Beavers",1988,31,7.2,45
"4858","Beef 2",2004,85,6.7,61
"4867","Beer Drinker's Guide to Fitness and Filmmaking, The",1987,84,8.3,18
"4883","Before Stonewall",1984,87,7,63
"4890","Before the Nickelodeon: The Cinema of Edwin S. Porter",1982,60,6,16
"4917","Behind Me - Bruno Ganz",2002,85,5.2,12
"4926","Behind the Mascot",2004,90,9.4,14
"4933","Behind the Scenes",1984,90,6.7,5
"4951","Being Different",1981,100,5.5,19
"4962","Beirut: The Last Home Movie",1987,123,8,6
"4964","Beit Shean: Seret Milhamah",1996,85,6.3,14
"4972","Belarmino",1964,80,7.9,21
"4974","Belfast, Maine",1999,245,7.2,46
"4978","Believe It or Not #4",1930,8,5.4,6
"4979","Believe It or Not #9",1931,9,7.2,5
"5006","Bellaria - So lange wir leben!",2002,100,7.6,39
"5035","Bellini's Drive",1998,71,5.4,15
"5067","Belovy",1993,60,8.1,6
"5079","Beluga Baby",1978,13,3.3,18
"5080","Beluga Speaking Across Time",2002,52,5.7,6
"5090","Ben Harper: Pleasure and Pain",2002,89,6.5,29
"5092","Ben Johnson: Third Cowboy on the Right",1996,83,5,26
"5118","Benjamin Smoke",2000,72,5.7,62
"5149","Berkeley in the '60s",1990,117,7.2,125
"5150","Berlin",1945,70,7.5,5
"5153","Berlin Babylon",2001,88,9,57
"5185","Bertolucci secondo il cinema",1975,70,5.8,23
"5186","Beruf Neonazi",1993,83,6.1,20
"5205","Best Boy",1979,111,7.4,130
"5210","Best Hotel on Skid Row",1990,48,9.4,5
"5218","Best Man: 'Best Boy' and All of Us Twenty Years Later",1997,90,5.2,25
"5228","Best of Cinerama",1963,142,8.1,7
"5232","Best of Sex and Violence, The",1981,76,4.9,33
"5234","Best of Walt Disney's True-Life Adventures, The",1975,89,7.6,12
"5240","Best of the Martial Arts Films, The",1990,90,6.9,109
"5269","Better Living Through Circuitry",1999,85,6.9,158
"5284","Betty Blowtorch (And Her Amazing True Life Adventures)",2003,98,7.3,10
"5330","Between the Teeth",1994,71,7.3,14
"5354","Beyond 'JFK': The Question of Conspiracy",1992,90,4.8,107
"5356","Beyond Barbed Wire",1997,88,7.7,21
"5359","Beyond Borders: John Sayles in Mexico",2003,56,6.1,11
"5379","Beyond Vanilla",2001,92,6.3,46
"5382","Beyond and Back",1978,93,4,27
"5389","Beyond the Gates of Splendor",2005,96,8.9,15
"5394","Beyond the Mat",1999,108,7.3,2243
"5479","Big Bang, The",1989,81,5.8,57
"5481","Big Ben: Ben Webster in Europe",1967,31,7.7,7
"5516","Big City Dick: Richard Peterson's First Movie",2004,129,8.4,8
"5526","Big Durian, The",2003,75,8.2,16
"5582","Big One, The",1997,91,7.5,2395
"5583","Big Parade of Comedy, The",1964,90,6.5,71
"5587","Big Pink, The",1994,72,7,6
"5590","Big Question, The",2004,60,9.4,5
"5621","Big Sur, The",1965,9,5.8,17
"5625","Big T.N.T. Show, The",1966,93,7.7,51
"5628","Big Time",2001,92,6.8,12
"5650","Bigfoot",1967,1,5.2,16
"5652","Bigfoot: Man or Beast?",1971,90,6,8
"5654","Bigger Splash, A",1974,106,3.9,22
"5659","Biggie and Tupac",2002,108,6.9,465
"5661","Bij de beesten af",1972,104,7.3,40
"5670","Biker Dreams",1998,73,7,10
"5686","Bilder der Welt und Inschrift des Krieges",1989,75,6.4,17
"5701","Billabong Odyssey",2003,87,5.8,81
"5763","Bingo Bus, A",2004,30,6.6,7
"5794","Bird's-Eye View of Dock Front, Galveston",1900,1,3.4,8
"5799","Birds Do It, Bees Do It",1974,90,6,22
"5841","Bit of Scarlet, A",1997,70,5.5,6
"5867","Bittersweet Motel",2000,82,7.6,242
"5869","Bix",1981,116,8.7,8
"5894","Black Box BRD",2001,102,7.4,151
"5904","Black Cats and Broomsticks",1955,8,5.7,25
"5906","Black Chicks Talking",2001,52,5.8,9
"5913","Black Diamond Express",1896,1,5,19
"5914","Black Diamond Rush",1993,96,6.1,5
"5925","Black Fox: The True Story of Adolf Hitler",1962,89,7.2,21
"5939","Black Harvest",1992,90,8.7,10
"5947","Black Indians: An American Story",2001,60,6.4,5
"5990","Black Press: Soldiers Without Swords, The",1999,86,4.9,8
"6027","Black Tar Heroin: The Dark End of the Street",2000,75,5.3,41
"6035","Black Wax",1982,79,5.5,18
"6043","Black and Blue",1980,87,5.3,16
"6048","Black is... Black Ain't",1994,87,9,21
"6049","Black to the Promised Land",1992,95,8.3,10
"6115","Blank Generation, The",1976,55,4.9,33
"6119","Blast 'Em",1992,103,5.5,25
"6173","Blind",1987,132,9.7,10
"6191","Blind Light",1997,58,5.4,14
"6195","Blind Spot: Murder by Women",2000,87,8.2,6
"6224","Blizzard of AAHHH's, The",1988,75,8.2,16
"6233","Blodiga tiden, Den",1960,111,7.6,37
"6235","Blokersi",2001,77,6.2,34
"6302","Blood Beast: The Films of Michael Reeves, The",1999,25,7.8,8
"6360","Blood in the Face",1991,78,6.8,107
"6437","Blossom Seeley and Bennie Fields",1929,10,6.3,14
"6483","Blue Collar Comedy Tour: The Movie",2003,105,7.6,804
"6491","Blue Eyed",1996,90,8.4,73
"6523","Blue Planet",1990,40,7.7,136
"6539","Blue Vinyl",2002,98,6.7,81
"6540","Blue Water, White Death",1971,99,6.4,53
"6541","Blue and the Gray, The",1935,11,4.6,5
"6555","Blues Accordin' to Lightin' Hopkins, The",1970,31,7.1,25
"6564","Blume der Hausfrau, Die",1999,92,5.7,46
"6587","Bob Marley Live in Concert",1998,65,7.1,15
"6588","Bob Marley and the Wailers: The Bob Marley Story",1986,100,8.3,6
"6591","Bob Wills and His Texas Playboys",1944,11,5.1,6
"6634","Body Care and Grooming",1947,16,3.5,47
"6658","Body Without Soul",1996,94,5.3,47
"6663","Body by Garret",1982,27,2.9,6
"6666","Body, The",1970,112,5.9,13
"6672","Bodysong",2003,83,6.5,85
"6689","Bohemia docta aneb labyrint sveta a lusthauz srdce",2000,254,3.7,6
"6718","Bolero, The",1973,26,2.4,10
"6724","Bollywood Bound",2001,88,5.4,24
"6745","Bombay Eunuch",2001,71,8,12
"6757","Bomgay",1996,12,9,11
"6776","Bondi Tsunami",2004,91,7.1,13
"6787","Bones of the Forest",1995,80,6.7,6
"6819","Boo",1932,10,3.9,76
"6856","BookWars",2000,79,7.9,23
"6859","Bookshelf on Top of the Sky: 12 Stories About John Zorn, A",2002,82,6.2,12
"6868","Boomerang",1995,90,6.1,24
"6935","Borges, los libros y las noches",1999,82,5.4,12
"6952","Born Into Brothels: Calcutta's Red Light Kids",2004,85,7.8,366
"6958","Born Rich",2003,75,6.5,189
"6971","Born to Boogie",1972,67,6.5,39
"6973","Born to Fight",1956,15,5.8,6
"6977","Born to Lose: The Last Rock and Roll Movie",1999,90,6.8,14
"6993","Bosna!",1994,117,6.9,61
"7058","Bounce: Behind the Velvet Rope",2000,71,6.2,63
"7083","Bout tabou",2000,7,8.5,6
"7096","Bowery Waltz",1897,1,4.1,15
"7104","Bowling for Columbine",2002,120,8.5,36747
"7115","Boxers and Ballerinas",2004,90,7.7,7
"7120","Boxprinz, Der",2002,100,6.9,16
"7136","Boy Named Sue, A",2000,69,7.9,7
"7144","Boy Who Plays on the Buddhas of Bamiyan, The",2004,96,6,26
"7160","Boy's Life, A",2003,77,7.5,52
"7189","Boys from Brazil",1993,68,5.8,38
"7198","Boys of 2nd Street Park, The",2003,91,7.2,38
"7237","Brakhage",1998,73,6.4,36
"7248","Brandon Teena Story, The",1998,89,6.8,202
"7249","Brandos Costumes",1975,75,6.7,6
"7265","Brass on Fire",2002,103,7.7,6
"7318","Breakfast with Hunter",2003,91,6.8,80
"7345","Breath Control: The History of the Human Beat Box",2002,73,7.7,28
"7351","Breathing Lessons: The Life and Work of Mark O'Brien",1996,35,9.5,30
"7354","Breathing Together: Revolution of the Electric Family",1971,84,6,7
"7362","Brel",1982,92,6.8,8
"7440","Brief History of Errol Morris, A",2000,48,6.5,25
"7441","Brief History of Time, A",1991,80,7.4,668
"7462","Bright Leaves",2003,107,7,91
"7480","Bring 'Em Back Alive",1932,65,5.5,19
"7489","Bring on the Night",1985,97,6.5,152
"7500","British Sounds",1970,54,5.9,17
"7508","Broadway & Union Square, New York",1902,1,3.1,7
"7530","Broadway: The Golden Age, by the Legends Who Were There",2003,111,7.7,127
"7533","Brodvey. Chernoe more",2002,84,8.4,6
"7560","Broken Noses",1987,75,5.7,22
"7561","Broken Rainbow",1985,70,4.7,16
"7567","Broken Treaty at Battle Mountain",1975,60,7.5,6
"7583","Bronze Screen: 100 Years of the Latino Image in American Cinema, The",2002,90,7.5,11
"7587","Brooklyn Bridge",1981,58,7.9,61
"7599","Brother Born Again",2001,76,6.9,7
"7602","Brother Minister: The Assassination of Malcolm X",1994,115,2.5,12
"7604","Brother Outsider: The Life of Bayard Rustin",2003,83,7.5,27
"7611","Brother's Keeper",1992,104,7.6,525
"7613","Brother, Can You Spare a Dime?",1975,103,6.8,72
"7623","Brothers in Arms",2003,68,4.6,23
"7628","Brothers... On Holy Ground",2003,54,9.4,14
"7641","Bruce Haack: The King of Techno",2004,70,8.7,9
"7643","Bruce Lee - Best of the Best",1990,71,4.9,9
"7645","Bruce Lee and Kung Fu Mania",1992,85,6.3,15
"7647","Bruce Lee, the Legend",1977,88,5.9,108
"7657","Brug, De",1928,11,7.9,13
"7671","Brutes and Savages",1978,107,3.2,16
"7692","Bubbeh Lee and Me",1996,35,7.9,12
"7725","Bucking Broncho",1894,1,4.6,30
"7746","Budget Liquor",2001,18,4.6,55
"7752","Buena Vista Social Club",1999,105,7.2,3216
"7767","Buffalo Dance",1894,1,5,35
"7768","Buffalo Fire Department in Action",1897,1,4.1,16
"7790","Bugs Bunny Superstar",1976,90,6.7,121
"7803","Bukak Api",2000,80,7.2,6
"7804","Bukowski: Born into This",2003,130,8.4,133
"7878","Bunker - Die letzten Tage",2003,83,9.6,5
"7904","Burden of Dreams",1982,95,7.7,233
"7935","Burning Man: The Burning Sensation",2002,75,4.2,27
"7941","Burning Times, The",1990,57,7.7,8
"7943","Burning Wall, The",2002,89,8.5,6
"7952","Burroughs",1985,86,7.6,33
"7959","Bus Rider's Union",1999,87,6.4,15
"7964","Bus, The",1965,62,4.6,18
"7971","Bush's Brain",2004,80,6.8,264
"7992","Buster Keaton Rides Again",1965,55,7.7,37
"7999","Busting Out",2004,57,9.4,5
"8033","Buy 1, Get 5 Free: Texas Fireworks Stands",2000,34,7.8,23
"8058","Bye Bye Africa",1999,86,6.2,18
"8136","Cabra Marcado Para Morrer",1985,119,7.9,33
"8181","Caesar's Park",2000,67,7,26
"8237","Calcutta",1969,105,5.9,17
"8261","California Reich, The",1975,60,7.1,12
"8297","Calle 54",2000,105,7.4,204
"8312","Calling Hedy Lamarr",2004,71,5.5,12
"8316","Calling the Ghosts",1996,60,6.7,21
"8334","Cama de Gato",2002,92,7.8,50
"8352","Cameramen at War",1943,15,5.6,5
"8363","Caminantes",2001,60,7.1,9
"8423","Can't You Hear the Wind Howl? The Life & Music of Robert Johnson",1997,77,6.2,23
"8426","Canada Vignettes: Fort Prince of Wales",1978,1,8.4,6
"8444","Candid Camera Story (Very Candid) of the Metro-Goldwyn-Mayer Pictures 1937 Convention, The",1937,17,9,5
"8465","Cane Toads",1988,47,8.3,208
"8484","Cannes: The Agony and the Ecstasy",1998,60,8.8,9
"8489","Cannibal Tours",1988,70,7.8,24
